,District,Ward,Longitude,Latitude
0,Nagatacho,Chiyoda,139.7434685,35.675618
1,Kasumigaseki,Chiyoda,139.7509719,35.6740542
2,Otemachi,Chiyoda,139.7636157,35.686757
3,Marunouchi,Chiyoda,139.7652217,35.6806555
4,Akihabara,Chiyoda,139.7712503,35.6997364
5,Yurakucho,Chiyoda,139.7616737,35.6744233
6,Iidabashi,Chiyoda,139.7456774,35.7031684
7,Kanda,Chiyoda,79.93638832199528,29.84542725
8,Nihonbashi,Chuo,139.77450291683806,35.68406775
9,Kayabacho,Chuo,139.7796972,35.6792576
10,Ginza,Chuo,139.76430559879972,35.66951555
11,Tsukiji,Chuo,139.772563,35.6680853
12,Hatchobori,Chuo,139.7776367,35.6746453
13,Shinkawa,Chuo,141.323772,43.0984454
14,Tsukishima,Chuo,139.7847168,35.6645143
15,Kachidoki,Chuo,139.777168,35.6590031
16,Tsukuda,Chuo,133.85744,34.032456
17,Odaiba,Minato,139.77936404588297,35.619050200000004
18,Shinbashi,Minato,139.7558355,35.6651764
19,Hamamatsucho,Minato,139.7570622,35.6551111
20,Mita,Minato,-73.0000086,3.5000086
21,Roppongi,Minato,139.7334981,35.6624568
22,Toranomon,Minato,139.750049,35.67017
23,Aoyama,Minato,139.001079,37.8986325
24,Azabu,Minato,139.7339705,35.6564018
25,Shinjuku,Shinjuku,139.7036319,35.6937632
26,Takadanobaba,Shinjuku,139.7036425,35.7126839
27,Okubo,Shinjuku,139.6973187,35.7007911
28,Kagurazaka,Shinjuku,139.7341347,35.7039298
29,Ichigaya,Shinjuku,139.735504,35.6913187
30,Yotsuya,Shinjuku,139.3862789,35.4738203
31,Hongu,Bunkyo,135.7731319,33.8379752
32,Yayoi,Bunkyo,133.7473767,34.5437194
33,Hakusan,Bunkyo,136.5658067,36.5143504
34,Ueno,Taito,139.7776445,35.7117587
35,Asakusa,Taito,139.797635,35.717528
36,Kinshicho,Sumida,139.8150431,35.6963122
37,Morishita,Sumida,139.7982399,35.6880305
38,Ryogoku,Sumida,139.7929596,35.6957996
39,Kiba,Koto,-80.8328748,23.0131338
40,Ariake,Koto,139.7932562,35.6345562
41,Kameido,Koto,139.827138,35.6976987
42,Toyocho,Koto,139.8174761,35.6695961
43,Monzennakacho,Koto,139.7948404,35.6724719
44,Fukagawa,Koto,142.0540685,43.7234297
45,Kiyosumi,Koto,140.1534664,35.1623104
46,Shirakawa,Koto,140.2107192,37.1263397
47,Etchujima,Koto,139.7926376,35.6679
48,Sunamachi,Koto,140.1953835,35.9069657
49,Aomi,Koto,139.7812023,35.6247789
50,Shinagawa,Shinagawa,139.73891,35.599252
51,Gotanda,Shinagawa,139.7237494,35.6261042
52,Osaki,Shinagawa,140.955454,38.5770889
53,Hatanodai,Shinagawa,139.7027094,35.6048391
54,Oimachi,Shinagawa,139.733944,35.6076094
55,Tennozu,Shinagawa,139.7507719,35.6205526
56,Meguro,Meguro,139.688014,35.62125
57,Nakameguro,Meguro,139.6987133,35.6442023
58,Jiyugeoka,Meguro,,
59,Komaba,Meguro,141.9124355,42.5752348
60,Aobadai,Meguro,139.5172312,35.5428783
61,Omori,Ota,139.7279334,35.5884735
62,Kamata,Ota,139.7146628,35.5618856
63,Haneda,Ota,139.7466458,35.5479444
64,Denen-chofu,Ota,,
65,Setagaya,Setagaya,139.65627,35.646096
66,Shimokitazawa,Setagaya,139.6663345,35.6616779
67,Kinuta,Setagaya,-1.5752586,42.5538817
68,Karasuyama,Setagaya,140.1550367,36.6504536
69,Tamagawa,Setagaya,139.4067251,35.6855417
70,Shibuya,Shibuya,139.6987107,35.6645956
71,Ebisu,Shibuya,139.7102101,35.6464378
72,Harajuku,Shibuya,139.7053357,35.6687049
73,Daikanyama,Shibuya,139.7032482,35.6481642
74,Hiroo,Shibuya,143.3116162,42.285532
75,Sendagaya,Shibuya,139.7113311,35.6812658
76,Yoyogi,Shibuya,139.7020805,35.6839519
77,Nakano,Nakano,139.664468,35.718123
78,Koenji,Suginami,139.649909,35.7049419
79,Asagaya,Suginami,139.6354724,35.7048403
80,Ogikubo,Suginami,139.6201587,35.7044803
81,Ikebukuro,Toshima,139.7107453,35.7304418
82,Komagome,Toshima,139.7472412,35.7365848
83,Senkawa,Toshima,139.689414,35.7382095
84,Sugamo,Toshima,139.7394273,35.7334119
85,Akabane,Kita,139.7207999,35.7781394
86,Oji,Kita,139.7382749,35.7523466
87,Tabata,Kita,139.7617151,35.7373701
88,Arakawa,Arakawa,139.78131,35.737529
89,Machiya,Arakawa,139.7806071,35.7427407
90,Nippori,Arakawa,139.7713635,35.7289204
91,Minamisenju,Arakawa,139.7966766,35.7366615
92,Itabashi,Itabashi,139.681209,35.774143
93,Takashimadaira,Itabashi,139.6589375,35.7883692
94,Nerima,Nerima,139.638735,35.74836
95,Oizumi,Nerima,139.405421,36.2477428
96,Hikarigaoka,Nerima,139.629415,35.7585088
97,Ayase,Adachi,139.430823,35.4460475
98,Kitasenju,Adachi,139.804177,35.754036
99,Takenotsuka,Adachi,139.7907116,35.7945322
100,Tateishi,Katsushika,131.4781536,33.4817913
101,Aoto,Katsushika,139.8561732,35.7456971
102,Kameari,Katsushika,139.8478007,35.7666652
103,Shibamata,Katsushika,139.8752024,35.7564295
104,Kasai,Edogawa,21.424098,-5.3498001
105,Koiwa,Edogawa,139.881843,35.7332364
